address,suggested_country,force_suggested_country,country,town
"PAUL DOMBAIS
PARIS FRANCE",FR,true,FR,PARIS
"FR783643860
14 RUE DU PEUPLE
13340 MARSEILLE FRANCE
TEL: 067534012",FR,true,FR,MARSEILLE
"ENCYCLOPEDIE VENDUE
14 RUE DU PEUPLE
MARSEILLE
ID 067534012",NO COUNTRY,true,NO COUNTRY,MARSEILLE
"ENCYCLOPEDIE VENDUE
14 RUE DU PEUPLE
MARSEILLE 13
ID 067534012",NO COUNTRY,true,NO COUNTRY,MARSEILLE
"CA783643864230
14 STREET OF HEROES
N2L 3G1 MONTREAL CANADA
TEL: 067534012",CA,true,CA,MONTREAL
"CA783643864230
14 HEROES STREET
N2L 3G1 MONTREAL CANADA
TEL: 067534012",CA,true,CA,MONTREAL
"CA783643864230
14 HEROES ST.
N2L 3G1 MONTREAL CANADA
TEL: 067534012",CA,true,CA,MONTREAL
"CA783643864230
14 STREET OF HEROES
N2L 3G1 MONTREAL CANADA
TEL: 06 75 34 01 21",CA,true,CA,MONTREAL
"CA783643864230
14 STREET OF HEROES
MONTREAL CANADA
TEL: 067 534 012",CA,true,CA,MONTREAL
"CA783643864230
14 RUE DE TROIS RIVIERES
MONTREAL CANADA
TEL: 067 534 012",CA,true,CA,MONTREAL
"CA783643864230
14 RUE DE TROIS-RIVIERES
MONTREAL CANADA
TEL: 067 534 012",CA,true,CA,MONTREAL
"CA783643864230
14 RUE DE TROIS-RIVIERES
CANADA MONTREAL
TEL: 067 534 012",CA,true,CA,MONTREAL
"CA783643864230
14 RUE DE TROIS-RIVIERES
CANADA
TEL: 067 534 012",CA,true,CA,NO TOWN
"CA783643864230
14 RUE DE QUEBEC
CANADA
TEL: 067 534 012",CA,true,CA,NO TOWN
"CA783643864230
MONTREAL CANADA
14 RUE DE TROIS-RIVIERES
TEL: 067 534 012",CA,true,CA,MONTREAL
"CA783643864230
14 STREET OF HEROES
W.561 LOS ANGELES CALIFORNIA
TEL: 067534012",US,true,US,LOS ANGELES
"FR79909790790
STREET OF HEROES
NORTH BUSINESS AREA
/FRANCE/PARIS",FR,true,FR,PARIS
"FR79909790790
STREET OF HEROES
EAST BUSINESS ZONE
/FRANCE/PARIS",FR,true,FR,PARIS
"FR79909790790
STREET OF HEROES
WEST BUSINESS DISTRICT
/FRANCE/PARIS",FR,true,FR,PARIS
"FR79909790790
STREET OF HEROES
WEST BUSINESS DISTRICT
/FRANCE/MARSEILLE",FR,true,FR,MARSEILLE
"FR79909790790
STREET OF HEROES
CENTRAL BUSINESS PARK
/FRANCE/PARIS",FR,true,FR,PARIS
"MOHAMMED ALI
SHEIHK JORDAN ROAD
JEDDAH K.S.A.
ID 12345678",SA,true,SA,JEDDAH
"MOHAMMED ALI
SHEIHK JORDAN ROAD
JEDDAH K.S.A.
ID:12345678",SA,true,SA,JEDDAH
"MOHAMMED ALI
SHEIHK JORDAN ROAD
JEDDAH KSA
ID:12345678",SA,true,SA,JEDDAH
"MOHAMMED ALI
SHEIHK JORDAN ROAD
JEDDAH KSA
NO:12345678",SA,true,SA,JEDDAH
"NAPOLEON BONAPARTE
MINISTERE DE LA DEFENSE
60 bd. du général Martial Valin
CS 21623 75509 PARIS Cedex 15",NO COUNTRY,true,NO COUNTRY,PARIS
"NAPOLEON BONAPARTE
MINISTERE DE LA DEFENSE
CS 21623 75509 PARIS Cedex 15
NO:58768465468",NO COUNTRY,true,NO COUNTRY,PARIS
"NAPOLEON BONAPARTE
MINISTERE DE LA DEFENSE
CS 21623 75509 PARIS Cedex 15
NO 58768465468",NO COUNTRY,true,NO COUNTRY,PARIS
"NAPOLEON BONAPARTE
MINISTERE DE LA DEFENSE
CS 21623 75509 PARIS Cedex 15
NB. 58768465468",NO COUNTRY,true,NO COUNTRY,PARIS
"NAPOLEON BONAPARTE
MINISTERE DE LA DEFENSE
CS 21623 75509 PARIS Cedex 15
NB 587 684 654 68",NO COUNTRY,true,NO COUNTRY,PARIS
"NAPOLEON BONAPARTE
SOCIETY FOR CREATIVE ANACHRONISM
FRANCE
ID: 1234567890
DOB: 15/08/1769 POB: FRANCE",FR,true,FR,NO TOWN
"JULIUS CAESAR
SOCIETY FOR CREATIVE ANACHRONISM
ITALY
ID: 1234567890
DOB: 13/07/100BC POB: ITALY",IT,true,IT,NO TOWN
"JULIUS CAESAR
SOCIETY FOR CREATIVE ANACHRONISM
IT
ID: 1234567890
DOB: 13/07/100BC POB: IT",IT,true,IT,NO TOWN
"JULIUS CAESAR
SOCIETY FOR CREATIVE ANACHRONISM
ROME IT
ID: 1234567890
DOB: 13/07/100BC POB: IT",IT,true,IT,ROME
"JULIUS CAESAR
SOCIETY FOR CREATIVE ANACHRONISM
LONDON UNITED KINGDOM
ID: 1234567890
DOB: 13/07/100BC POB: ITALY",GB,true,GB,LONDON
"JULIUS CAESAR
SOCIETY FOR CREATIVE ANACHRONISM
LONDON
ID: 1234567890
DOB: 13/07/100BC POB: ITALY",GB,true,GB,LONDON
"MARK ANTONY
BAKER STREET 14
W4563 LONDON (GB)",GB,true,GB,LONDON
"NATIONAL SOCIETY
NEAR THE AIRPORT
 PARIS (FR)",FR,true,FR,PARIS
