address,suggested_country,force_suggested_country,country,town
"LUIS ESCALA
PIEDRAS 623
PISO 2, DEPTO 4
C1070AAM, CAPITAL FEDERAL",AR,true,AR,CAPITAL FEDERAL
"LUIS ESCALA
PIEDRAS 623
PISO 2, DEPTO 4
C1070AAM, CAPITAL FEDERAL, AR",AR,true,AR,CAPITAL FEDERAL
"LUIS ESCALA
PIEDRAS 623
PISO 2, DEPTO 4
C1070AAM, CAPITAL FEDERAL, ARGENTINA",AR,true,AR,CAPITAL FEDERAL
"MS H WILLIAMS
219-241 CLEVELAND ST
STRAWBERRY HILLS  NSW  1427",AU,true,AU,STRAWBERRY HILLS
"MS H WILLIAMS
219-241 CLEVELAND ST
STRAWBERRY HILLS  NSW  1427  AU",AU,true,AU,STRAWBERRY HILLS
"MS H WILLIAMS
219-241 CLEVELAND ST
STRAWBERRY HILLS  NSW  1427  AUSTRALIA",AU,true,AU,STRAWBERRY HILLS
"FIRMA ABC
KUNDENDIENST
HAUPTSTR. 5
2000 STOCKERAU",AT,true,AT,STOCKERAU
"FIRMA ABC
KUNDENDIENST
HAUPTSTR. 5
2000 STOCKERAU
AT",AT,true,AT,STOCKERAU
"FIRMA ABC
KUNDENDIENST
HAUPTSTR. 5
2000 STOCKERAU
AUSTRIA",AT,true,AT,STOCKERAU
"SHEIKH MUJIBUR RAHMAN
DHANMONDI. 32
DHAKA-1209",BD,true,BD,DHAKA
"SHEIKH MUJIBUR RAHMAN
DHANMONDI. 32
DHAKA-1209
BD",BD,true,BD,DHAKA
"SHEIKH MUJIBUR RAHMAN
DHANMONDI. 32
DHAKA-1209
BANGLADESH",BD,true,BD,DHAKA
"SVISTUNOV IVAN PIATROVIC
VUL. CENTRALNAJA, D. 20
V. KARALISTAVICY
223016, P/A NOVY DVOR
MINSKAHA R-NA
MINSKAJ VOBL.",BY,true,BY,NOVY DVOR
"SVISTUNOV IVAN PIATROVIC
VUL. CENTRALNAJA, D. 20
V. KARALISTAVICY
223016, P/A NOVY DVOR
MINSKAHA R-NA
MINSKAJ VOBL.
BY",BY,true,BY,NOVY DVOR
"SVISTUNOV IVAN PIATROVIC
VUL. CENTRALNAJA, D. 20
V. KARALISTAVICY
223016, P/A NOVY DVOR
MINSKAHA R-NA
MINSKAJ VOBL.
BELARUS",BY,true,BY,NOVY DVOR
"DHR PAUL JANSSENS
VOLKLORENLAAN 81 BUS 15
2610 WILRIJK",BE,true,BE,WILRIJK
"DHR PAUL JANSSENS
VOLKLORENLAAN 81 BUS 15
2610 WILRIJK
BE",BE,true,BE,WILRIJK
